time,s1,s2,s3
01/01/2026 00:36,45.5748,43.1223,16.313
01/01/2026 00:37,44.7016,42.432,16.0962
01/01/2026 00:38,43.8814,41.8172,15.8968
01/01/2026 00:39,43.1223,41.2842,15.7156
01/01/2026 00:40,42.432,40.8383,15.5534
01/01/2026 00:41,41.8172,40.484,15.4109
01/01/2026 00:42,41.2842,40.2247,15.2889
01/01/2026 00:43,40.8383,40.0631,15.1878
01/01/2026 00:44,40.484,40.0008,15.108
2026-01-01 00:45:00,40.2247,40.0384,15.05
2026-01-01 00:46:00,40.0631,40.1755,15.014
2026-01-01 00:47:00,40.0008,40.4108,15.0002
2026-01-01 00:48:00,40.0384,40.7419,15.0085
2026-01-01 00:49:00,40.1755,41.1655,15.0391
2026-01-01 00:50:00,40.4108,41.6773,15.0916
2026-01-01 00:51:00,40.7419,42.2724,15.166
2026-01-01 00:52:00,41.1655,42.9446,15.2619
2026-01-01 00:53:00,41.6773,43.6873,15.3788
2026-01-01 00:54:00,42.2724,44.4931,15.5162
2026-01-01 00:55:00,42.9446,45.354,15.6736
2026-01-01 00:56:00,43.6873,46.2612,15.8501
2026-01-01 00:57:00,44.4931,47.2058,16.0452
2026-01-01 00:58:00,45.354,48.1784,16.2577
2026-01-01 00:59:00,46.2612,49.1691,16.487
2026-01-01 01:00:00,47.2058,50.1681,16.7318
2026-01-01 01:01:00,48.1784,51.1655,16.9911
2026-01-01 01:02:00,49.1691,52.1512,17.2638
2026-01-01 01:03:00,50.1681,53.1154,17.5487
2026-01-01 01:04:00,51.1655,54.0485,17.8445
2026-01-01 01:05:00,52.1512,54.9411,18.1498
2026-01-01 01:06:00,53.1154,55.7844,18.4633
2026-01-01 01:07:00,54.0485,56.5699,18.7837
2026-01-01 01:08:00,54.9411,57.2897,19.1095
2026-01-01 01:09:00,55.7844,57.9367,19.4392
2026-01-01 01:10:00,56.5699,58.5044,19.7715
2026-01-01 01:11:00,57.2897,58.9871,20.1047
2026-01-01 01:12:00,57.9367,59.38,20.4375
2026-01-01 01:13:00,58.5044,59.6792,20.7683
2026-01-01 01:14:00,58.9871,59.8817,21.0958
2026-01-01 01:15:00,59.38,59.9854,21.4183
2026-01-01 01:16:00,59.6792,59.9894,21.7346
2026-01-01 01:17:00,59.8817,59.8936,22.0431
2026-01-01 01:18:00,59.9854,59.6989,22.3426
2026-01-01 01:19:00,59.9894,59.4073,22.6316
2026-01-01 01:20:00,59.8936,59.0217,22.909
2026-01-01 01:21:00,59.6989,58.546,23.1735
2026-01-01 01:22:00,59.4073,57.9849,23.4238
2026-01-01 01:23:00,59.0217,57.344,23.6589
2026-01-01 01:24:00,58.546,56.6297,23.8778
2026-01-01 01:25:00,57.9849,55.8492,24.0795
2026-01-01 01:26:00,57.344,55.0102,24.263
2026-01-01 01:27:00,56.6297,54.1212,24.4276
2026-01-01 01:28:00,55.8492,53.191,24.5725
2026-01-01 01:29:00,55.0102,52.2289,24.6971
2026-01-01 01:30:00,54.1212,51.2445,24.8009
2026-01-01 01:31:00,53.191,50.2478,24.8833
2026-01-01 01:32:00,52.2289,49.2485,24.944
2026-01-01 01:33:00,51.2445,48.2567,24.9827
2026-01-01 01:34:00,50.2478,47.2824,24.9993
2026-01-01 01:35:00,49.2485,46.3352,24.9937
2026-01-01 01:36:00,48.2567,45.4246,24.9659
2026-01-01 01:37:00,47.2824,44.5598,24.9161
2026-01-01 01:38:00,46.3352,43.7493,24.8444
2026-01-01 01:39:00,45.4246,43.0013,24.7512
2026-01-01 01:40:00,44.5598,42.3231,24.6368
2026-01-01 01:41:00,43.7493,41.7217,24.5019
2026-01-01 01:42:00,43.0013,41.203,24.347
2026-01-01 01:43:00,42.3231,40.7722,24.1727
2026-01-01 01:44:00,41.7217,40.4336,23.98
2026-01-01 01:45:00,41.203,40.1906,23.7695
2026-01-01 01:46:00,40.7722,40.0456,23.5423
2026-01-01 01:47:00,40.4336,40.0001,23.2994
2026-01-01 01:48:00,40.1906,40.0545,23.0418
2026-01-01 01:49:00,40.0456,40.2082,22.7706
2026-01-01 01:50:00,40.0001,40.4598,22.4872
2026-01-01 01:51:00,40.0545,40.8067,22.1927
2026-01-01 01:52:00,40.2082,41.2455,21.8885
2026-01-01 01:53:00,40.4598,41.7717,21.5759
2026-01-01 01:54:00,40.8067,42.3802,21.2563
2026-01-01 01:55:00,41.2455,43.0647,20.9311
2026-01-01 01:56:00,41.7717,43.8186,20.6018
2026-01-01 01:57:00,42.3802,44.6343,20.2698
2026-01-01 01:58:00,43.0647,45.5035,19.9366
2026-01-01 01:59:00,43.8186,46.4177,19.6037
